Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
2943,225,6,283,80,1739,212,246,171,2683,3,32
3130,93,15,277,34,5653,242,216,100,1048,1,29
2520,92,8,153,0,1080,233,228,128,4924,1,18
2678,225,22,0,0,2656,185,254,199,1019,3,4
3263,138,13,256,65,1637,240,235,122,1566,1,29
3184,316,15,421,120,2089,178,225,187,2160,3,33
2357,130,15,150,56,900,243,231,113,849,4,3
3312,288,22,228,36,5459,154,232,216,890,1,38
2983,41,21,90,-6,485,218,190,98,1182,1,29
3145,3,9,150,10,481,207,222,152,2397,2,23
2876,51,23,242,59,1559,224,185,84,2611,3,33
3106,198,12,67,-2,5274,216,250,167,1340,1,29
3221,15,3,342,30,3314,217,233,154,3673,1,23
2328,333,16,67,-11,484,181,217,175,858,4,10
3061,6,14,90,22,1302,201,212,146,2521,3,24
3146,86,20,192,-22,1100,245,202,78,1041,1,29
2626,8,13,182,37,1678,205,215,146,4402,1,29
2738,120,8,365,76,1681,234,234,132,1761,1,12
2909,293,2,30,0,2334,214,238,162,277,3,23
3276,8,7,108,1,1841,212,227,152,1390,3,38
2607,220,12,277,65,1772,206,251,180,1892,3,2
3428,330,9,509,59,4863,198,229,170,4245,3,38
3095,37,10,319,24,2611,220,219,133,2863,3,32
3146,332,15,201,23,3216,184,220,175,3114,1,29
3127,288,7,42,8,2321,201,240,178,2089,3,32
2851,160,6,30,2,3238,227,241,148,3237,1,23
2971,26,8,0,0,907,216,222,142,2165,1,29
2739,178,23,330,155,1681,223,246,143,1191,3,4
3167,271,30,228,37,4686,128,233,236,3287,1,29
3169,131,23,90,-1,1423,250,220,86,1315,1,29
2862,47,10,150,17,2342,224,219,129,1131,3,23
2659,212,12,67,10,1803,210,251,176,1006,3,11
2714,69,13,85,-14,1535,233,214,110,1036,1,29
2838,42,16,108,30,4123,220,202,112,1130,1,29
3149,117,4,467,70,5367,227,236,143,1691,1,29
2712,146,5,30,1,1189,227,239,146,2094,1,12
2559,111,24,484,-40,779,253,206,67,1179,3,2
2851,330,29,95,42,2630,141,192,184,1839,1,29
2528,151,6,108,4,598,228,240,145,390,1,23
3125,287,7,42,2,1337,200,240,179,1328,2,40
2595,203,15,323,60,1498,211,252,172,2054,3,4
2769,80,8,60,4,3035,231,225,127,5550,1,12
2753,51,21,175,56,1304,225,191,90,2223,1,12
3229,126,16,295,84,2465,245,227,105,3197,3,39
2919,72,5,518,16,4460,225,231,141,4559,1,23
3379,161,11,300,67,1452,232,243,141,2918,1,38
3016,82,16,268,90,1403,240,210,96,1575,3,32
3127,189,5,553,86,738,220,243,159,1790,3,33
2089,124,37,404,190,404,252,186,26,932,4,3
3231,18,15,926,105,2162,208,208,134,2225,3,38
2889,186,19,42,7,1020,220,250,156,1852,3,33
3078,77,15,30,8,1140,238,212,101,2249,1,29
3113,28,21,175,42,3403,207,189,110,1471,3,31
3277,59,23,703,103,1634,230,185,76,2424,2,33
2863,130,11,0,0,6296,239,234,123,4370,1,30
3066,226,15,182,5,1758,197,253,190,335,3,32
3105,110,12,190,27,85,240,227,115,3703,2,22
3350,358,16,553,195,3918,193,209,152,3608,3,40
3267,43,24,170,55,3684,217,181,88,2774,1,23
2661,139,9,0,0,3503,235,237,133,2114,3,20
2993,41,10,722,198,2941,222,217,130,997,3,34
2563,346,14,395,42,95,192,217,162,696,4,6
2984,56,3,42,1,2853,222,232,146,1784,1,29
2833,356,10,514,70,1958,204,223,156,1008,3,11
3001,358,12,108,23,300,201,217,154,731,1,22
2998,127,14,60,1,1430,243,230,112,1209,3,33
2635,170,7,424,116,1581,225,243,152,1841,3,2
3018,35,21,67,26,661,212,188,103,2467,1,29
3128,30,10,295,16,1892,217,217,135,892,3,31
3361,97,6,376,58,1781,230,231,135,3097,2,38
3005,137,16,366,159,5356,243,232,112,560,1,29
2912,331,8,60,5,3624,201,230,168,4920,1,29
3301,210,8,182,6,1242,214,248,169,1388,3,32
3157,177,8,591,71,272,224,245,154,2821,3,23
2952,287,11,242,70,2874,188,239,191,2324,1,29
3036,347,3,182,44,60,213,234,159,661,1,22
2791,30,16,150,3,1463,214,204,122,2259,3,33
2825,124,14,295,0,2789,243,229,111,2546,1,12
3407,3,18,604,59,4079,192,202,144,3543,3,39
3016,312,19,60,-9,780,167,223,195,1116,3,31
3082,279,16,360,-38,2044,176,241,204,1914,3,32
3144,187,23,390,94,3371,216,249,155,1006,3,33
2360,355,5,190,21,1361,211,230,157,366,4,6
3257,27,7,162,37,5978,218,225,144,518,1,22
2881,194,19,390,35,1590,214,252,165,815,3,13
3178,169,23,228,49,2491,230,242,130,3273,1,29
2737,78,21,153,6,175,242,198,77,1205,1,30
3185,173,6,598,13,4384,224,243,154,1879,1,23
2995,262,25,218,109,6189,149,243,227,4824,1,30
2865,0,13,60,16,2688,200,215,152,2123,1,23
3031,53,12,212,43,2192,227,214,119,2713,3,23
3165,136,14,42,13,3934,241,234,119,3181,1,30
3046,77,9,30,-9,2665,232,223,122,2018,3,31
3022,27,20,216,43,5115,207,192,114,2742,1,29
3319,300,13,42,9,3571,184,235,191,1698,3,32
2643,118,16,0,0,1740,245,225,104,268,3,10
2602,45,16,402,25,1365,223,204,111,4173,1,29
3042,144,6,108,16,4584,230,239,143,361,1,30
2750,100,9,95,12,457,236,227,122,2574,3,31
3047,7,10,323,25,2825,208,220,149,1302,3,32
3131,336,5,531,94,2053,209,233,162,886,3,13
2701,65,14,120,0,1454,233,210,106,2218,3,11
2866,66,13,362,75,2609,232,214,111,3170,1,12
3011,203,10,764,92,5823,215,249,168,3649,1,29
3079,358,16,930,210,2639,192,208,151,1744,3,24
2862,0,15,0,0,1622,196,210,150,2796,3,20
3170,143,14,949,11,3084,239,236,123,2707,3,33
3152,288,14,323,43,4770,180,238,198,3077,1,30
3152,323,14,190,25,3391,184,225,180,1650,3,31
3260,304,7,60,20,5430,201,237,175,295,1,38
3380,105,20,240,61,2347,249,211,81,983,3,40
2955,217,2,127,0,1302,217,241,161,285,3,32
2949,113,22,85,23,1592,251,211,77,1592,3,13
3025,350,9,124,23,3331,203,224,160,1822,1,29
3115,7,17,379,78,2614,198,205,142,1269,3,33
3071,205,22,153,50,3236,202,254,178,1253,3,33
3066,174,5,150,10,2809,223,242,155,589,3,23
3205,297,11,907,187,4213,190,237,186,2278,1,23
3141,213,15,426,70,268,205,253,180,624,3,32
2178,296,37,124,97,1376,93,200,233,918,4,10
2568,137,16,85,25,960,243,232,113,309,1,30
2955,168,12,258,39,5134,230,245,145,4447,1,30
2767,73,22,162,-30,150,239,193,73,866,1,30
3139,23,12,120,5,3056,212,214,136,937,3,32
3255,56,7,242,28,4314,225,225,134,2364,1,38
2986,351,19,361,50,642,182,204,157,1632,3,24
3378,262,7,418,56,3816,202,244,180,2148,3,38
3362,331,10,691,91,1224,197,228,170,1578,3,38
2795,155,7,324,22,2350,228,241,146,2701,1,12
2467,64,13,108,24,256,232,213,111,1849,4,6
3018,90,12,0,0,1040,238,221,112,1020,1,29
3019,2,5,351,0,4200,212,229,155,1337,1,29
3152,126,8,371,52,5470,234,235,132,430,1,20
2911,266,15,85,-1,5037,181,245,203,1556,1,29
2986,94,4,297,61,1699,225,234,144,2623,3,32
3029,122,10,234,7,3495,238,232,124,95,1,29
3057,54,8,190,49,3978,225,223,131,2641,1,29
2413,75,27,124,26,725,241,178,50,741,4,1
2961,315,17,85,22,2280,172,223,191,2242,3,23
3351,315,5,607,162,789,207,236,167,560,2,33
3125,171,12,42,5,1284,228,245,147,2054,1,23
2927,316,16,108,31,3403,175,224,189,1578,1,29
2688,79,9,331,2,1034,232,224,124,1924,1,29
3075,29,14,418,13,2490,214,208,127,1195,3,23
2675,335,23,85,20,1597,163,203,176,1380,3,24
2929,54,8,582,128,4519,225,223,131,5287,1,12
3011,46,15,30,10,2037,224,206,113,2996,3,23
2979,48,14,170,12,4664,224,208,115,1842,1,19
3228,315,8,492,37,3241,199,234,174,3421,1,30
2939,85,16,268,-19,402,241,211,96,400,1,29
3187,180,14,210,46,2569,225,248,153,1048,3,32
3358,146,9,285,29,849,232,239,139,4156,2,32
2517,7,17,283,67,983,198,205,142,424,4,6
2962,37,9,67,0,2471,220,220,135,1959,3,22
3170,290,5,360,-27,212,206,239,172,1530,2,23
2631,67,10,228,53,1224,231,219,120,890,1,29
3095,79,10,150,7,5142,233,223,121,895,1,29
3212,186,9,192,10,2380,222,247,159,1486,3,23
2826,149,11,90,10,2047,235,239,134,2338,3,26
2787,110,13,67,7,379,242,226,111,2535,3,11
2964,15,30,524,-61,618,177,162,107,1142,3,24
3148,285,13,30,10,2440,184,240,195,1031,3,23
2790,161,20,134,55,1290,235,240,126,1566,3,4
3424,108,28,631,190,2014,254,194,48,1832,1,40
2541,100,4,124,0,558,227,234,142,1063,1,9
3298,189,18,457,66,4422,217,251,160,2387,3,33
3102,96,21,30,1,2847,248,205,75,3861,1,22
3432,163,5,85,10,1221,225,241,151,1075,2,40
2758,342,4,240,19,1368,212,234,160,2320,1,12
3080,45,5,67,2,3427,222,228,142,1260,1,29
3449,163,10,524,-3,1476,230,243,145,3827,2,35
3169,21,6,60,0,2191,216,227,148,2868,1,23
2941,42,12,190,-7,2060,222,214,126,301,3,32
3195,279,18,400,87,5822,169,240,209,2947,1,29
3140,357,15,778,270,778,195,211,153,1747,1,29
3104,355,10,42,4,3624,203,222,157,3060,3,22
2975,185,6,60,3,4319,221,244,158,2160,1,29
2821,6,25,108,36,1146,180,183,132,1812,3,24
3033,90,8,339,82,5370,232,228,129,661,1,30
3148,162,11,90,3,1041,231,243,143,2087,2,23
3240,138,19,371,-4,979,246,229,103,2664,1,22
3311,214,7,510,109,911,213,247,170,849,3,32
2689,98,17,192,16,1180,246,213,90,3453,1,12
3245,144,15,391,21,1347,240,236,122,2423,1,29
2320,189,19,376,26,1249,217,251,159,842,4,2
2958,310,14,258,31,1872,180,230,189,1806,3,32
3434,109,12,543,149,2139,241,226,113,1480,1,40
2250,349,28,255,47,674,158,182,155,926,4,10
2236,271,35,108,26,782,109,226,243,703,4,10
2801,138,13,228,58,3114,239,235,123,2820,1,12
2739,16,12,175,25,2142,209,214,141,3936,1,12
2945,0,0,150,24,3922,218,238,156,4834,1,12
2826,39,15,67,4,2955,219,207,119,4458,1,29
2663,2,19,30,7,1613,191,201,145,1924,3,10
3434,236,18,459,-18,1677,185,253,202,3719,2,33
3058,323,9,90,8,4676,197,231,173,969,1,29
2850,321,20,30,13,5550,164,216,189,4696,1,24
3279,0,7,120,0,1138,210,228,155,2382,1,38
2994,74,19,95,25,698,239,201,85,594,1,29
2863,27,16,362,71,4440,212,204,125,5224,1,29
3094,20,15,342,22,966,208,208,134,1495,3,22
2538,261,17,277,111,1201,177,247,207,612,4,6
3259,348,14,404,83,4621,192,216,161,849,3,32
3028,64,19,624,201,1353,234,197,88,685,1,29
3003,111,8,0,0,2313,234,231,129,4070,1,23
3096,172,19,960,78,3116,229,245,139,2411,3,33
3003,96,15,395,63,1638,243,217,100,866,3,32
2879,321,15,420,128,659,182,224,182,2245,1,24
2036,113,6,0,0,644,231,234,136,661,4,17
2752,82,12,339,-2,960,237,219,111,2496,1,29
2636,125,15,134,8,706,244,228,110,1884,1,30
2968,32,14,216,32,5057,216,208,125,3007,1,29
3077,155,10,60,0,6900,231,241,141,2691,1,29
3220,127,22,424,142,376,250,220,86,2761,2,25
2989,177,5,362,69,424,222,243,155,1503,3,32
3105,336,16,90,11,2623,184,217,172,618,3,23
3165,76,6,458,23,3084,228,229,136,4707,1,20
3302,311,15,90,34,5482,179,229,189,721,1,38
3201,188,27,256,77,2791,211,248,153,1003,3,33
3240,198,15,384,40,3173,214,252,168,430,3,22
2881,211,15,180,47,1680,206,253,179,1332,3,13
2676,133,9,120,15,2026,234,236,133,1611,1,30
3163,333,8,300,-14,1062,201,229,168,807,2,24
3127,10,5,85,3,1485,214,229,152,1182,2,23
2876,319,9,108,-4,1727,198,232,174,1443,3,32
2989,84,9,192,23,1485,233,225,125,1992,1,22
3170,193,9,192,32,3227,220,247,162,1339,3,32
2865,9,19,192,42,2220,195,198,136,1663,3,33
3050,212,6,576,190,6516,215,246,167,3778,1,29
3008,51,12,430,69,6223,226,214,120,3867,1,24
2709,104,6,457,23,1154,230,233,136,2012,1,29
3456,227,11,934,188,3561,205,250,181,484,3,38
3032,324,11,175,13,4921,193,229,175,2708,1,23
3018,158,11,757,109,5670,232,242,140,3123,1,29
3295,342,9,335,77,3330,202,227,164,2001,1,29
3024,68,3,618,105,5155,222,234,148,5913,1,12
2835,68,24,85,7,3309,236,184,66,5032,1,29
3166,71,24,272,75,5246,238,186,65,1383,1,29
3224,352,7,30,2,4604,208,228,158,376,1,38
3191,175,16,60,12,1020,227,247,146,2605,1,22
2329,62,20,319,90,382,233,195,86,828,4,3
3039,135,2,30,-1,990,222,238,151,1518,3,23
2853,101,19,446,63,511,248,211,83,636,3,33
2344,10,31,212,74,721,170,162,115,633,4,10
3275,101,14,258,28,1570,243,220,104,2116,3,32
2896,23,7,268,39,4119,216,225,145,5874,1,12
2623,175,25,180,0,1431,224,243,135,940,3,4
3231,136,13,295,42,3152,240,234,121,1124,3,32
2792,53,12,67,11,1316,227,215,120,1177,3,11
3179,195,7,255,0,4531,219,246,162,1124,3,23
3175,273,21,858,111,3515,160,241,217,2188,3,31
3217,289,32,170,-31,3252,117,218,232,2138,1,29
3218,288,11,228,38,485,189,239,190,942,2,23
3165,230,8,577,57,5473,208,247,176,1231,1,29
3159,286,13,108,35,2616,183,239,196,858,3,32
3002,0,8,408,70,3275,209,226,155,967,3,31
2968,90,17,541,55,4535,244,210,90,3022,1,29
3230,50,23,242,75,1507,223,183,81,2304,3,33
2807,338,15,30,7,947,185,217,170,2138,3,24
3102,29,9,751,48,2285,217,221,139,2334,3,32
3158,270,9,324,41,900,198,243,185,1256,3,23
3165,302,6,30,3,1234,204,237,173,277,3,21
3013,84,5,124,-6,4216,227,231,139,1150,1,29
2442,352,22,216,92,890,177,197,154,607,4,10
3004,45,2,752,78,5318,220,234,151,6052,1,29
3242,262,5,849,169,1672,207,242,173,691,3,24
3168,92,17,277,23,1418,244,212,91,1699,3,13
2956,292,9,150,29,1691,196,239,183,1371,3,33
3052,16,17,840,183,2550,202,202,132,1740,3,24
3094,252,5,175,22,2287,208,244,173,2173,3,32
2719,105,13,124,-9,1655,242,223,109,1570,3,11
2847,122,4,216,10,3770,228,236,143,6157,1,20
3040,89,17,150,28,3354,243,211,91,700,3,33
3264,78,10,732,43,3675,234,221,118,2954,1,40
2677,248,14,175,35,854,189,250,198,1489,1,30
3175,169,6,301,34,319,225,243,152,2912,3,31
3178,270,9,153,30,470,198,243,185,765,2,32
3307,213,12,85,18,2574,209,251,176,547,3,38
2481,226,25,450,73,395,177,254,204,1073,3,4
3271,260,9,365,45,5577,197,245,187,1484,1,22
3010,107,11,270,43,4847,239,226,116,1638,1,29
3274,173,16,60,14,4418,228,246,145,2295,1,38
3381,101,16,342,59,2006,245,217,97,3309,1,40
3180,143,20,0,0,2271,244,231,107,3278,1,29
2873,110,23,180,46,659,252,208,72,1256,3,13
3326,80,10,450,75,870,234,223,120,1243,3,39
3415,319,11,510,46,2016,192,230,178,648,3,38
2988,180,12,631,79,6134,224,247,154,5505,1,29
3226,51,3,240,5,5727,221,232,147,1830,1,22
2884,178,8,404,127,2168,224,245,155,684,3,31
3042,23,4,192,9,1480,218,231,151,2737,1,29
2985,30,19,404,154,1976,211,194,113,2795,3,33
3055,0,3,180,10,3416,215,233,156,1572,1,23
3039,315,1,306,0,3305,216,237,159,960,3,32
3270,348,14,433,70,3768,193,216,161,3906,1,38
2864,74,7,285,44,2145,229,227,132,2881,1,30
3274,64,9,323,96,1031,229,221,125,1749,1,22
2824,88,6,30,3,1142,229,230,135,1804,1,29
3214,202,8,612,105,516,217,247,165,2912,3,31
3035,119,10,0,0,1140,237,232,125,2932,3,23
2924,341,18,228,-51,1205,179,210,168,592,3,33
3322,285,7,30,6,3666,202,240,178,1814,3,32
3145,353,18,124,32,3833,187,207,156,3303,3,24
2207,260,41,240,123,1290,94,224,248,594,4,1
2750,105,11,60,0,1294,240,226,115,1493,1,23
3015,344,16,108,29,180,187,214,165,1381,3,31
2629,0,0,150,37,1804,218,238,156,957,3,3
2889,134,15,30,-2,3169,243,231,113,1215,3,13
2642,283,12,60,17,1498,186,240,194,751,3,33
3081,67,15,90,9,5301,234,208,102,2846,1,22
3081,306,6,450,27,2603,202,236,174,1976,3,32
3220,185,17,242,27,711,221,250,156,1142,1,22
3035,293,14,190,49,2589,181,236,195,914,1,29
3260,42,19,589,189,3603,219,195,104,1895,3,31
3166,58,14,95,7,1871,230,209,109,4420,2,22
2768,315,18,85,21,2206,171,223,191,658,3,31
2748,145,8,216,25,2506,231,239,141,1783,1,12
3359,112,9,525,74,1771,235,231,127,1935,1,38
2990,148,12,212,35,4863,236,239,131,1436,1,29
3338,45,16,212,98,5040,223,203,110,124,1,29
2721,80,10,404,72,2430,234,223,120,2200,3,10
3007,353,23,192,26,95,174,194,153,1291,3,24
2795,62,18,60,-6,1978,232,201,94,1445,3,33
2821,95,13,170,20,552,240,220,108,2647,3,11
2811,313,9,277,130,1158,196,233,177,484,3,32
2274,193,20,60,20,1064,214,252,164,379,4,1
3185,65,13,700,13,4250,232,214,112,1991,1,23
3121,10,7,323,42,5121,213,226,151,1120,1,29
2805,198,1,175,41,1727,218,239,157,1249,3,13
2952,13,4,277,56,3203,215,231,152,1910,1,29
3116,101,13,480,-32,6018,242,222,108,1385,1,29
3014,90,12,120,39,3246,239,220,110,6106,1,29
3249,64,25,592,25,953,233,181,66,2010,1,39
2926,271,26,90,40,6124,141,237,229,4821,1,24
3059,166,7,0,0,2821,226,243,150,1168,3,23
3042,255,11,67,12,3000,195,247,190,1116,3,33
